	MM909_01_1	MM909_02_1	MM909_03_1	MM909_06_1	MM909_11_1	MM909_14_1	MM909_15_2	MM909_16_1	MM909_17_1	MM909_22_2	MM909_25_1	MM909_26_1	MM909_27_1	MM909_29_1	MM909_31_1	MM909_34_2	MM909_35_2	MM909_36_1	MM909_37_1	MM909_40_1	MM909_42_1	MM909_43_1	MM909_45_1	MM909_46_1	MM909_47_1
B3GNT8	0.31424	0.08254	0	0.59162	0.24004	0.83039	0.15684	0.31831	0.13005	1.0844	1.65126	0.29305	0.1632	0.06518	0.03678	0.56153	0.53507	1.09932	1.0193	0.80748	0.20195	0.18611	0.31724	0.41064	0.23198
B3GNT9	3.13961	2.8264	1.7815	2.17852	2.51997	2.65897	1.70904	2.01019	1.1744	3.4971	3.12084	3.12816	2.7315	2.1006	0.97169	1.714	2.08684	2.71725	2.33768	3.09559	2.84034	1.70774	2.07452	1.70586	0.95827
B3GNTL1	1.0641	1.21863	1.91863	2.18209	1.61861	1.58615	2.23489	1.97487	2.47662	1.89468	2.6099	1.7461	2.82069	1.18736	1.56663	2.6126	1.27202	2.15923	1.62089	1.51292	1.37093	1.53069	1.53795	1.11988	1.47498
B4GALNT1	1.60541	0.38285	0.06235	0.2237	2.25022	0.57649	0.25797	0.05426	0.29236	1.28497	0.30633	0.18529	0.55157	0.69004	0.18483	2.18394	0.39742	0.53076	0.97804	0.09207	0.52437	0.78644	0.6225	1.21565	0.18456
B4GALNT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B4GALNT3	1.64067	0.62739	0.81998	0.07227	2.29972	0.26489	0.51519	3.04732	0.7412	0.21803	2.00581	0.26463	2.53928	0.77645	0.2653	0.37867	2.73982	0.14683	0.88838	1.07936	0.31171	1.95921	0.0783	0.17905	0.21718
B4GALNT4	1.93935	1.26664	0.73521	1.25461	0.87787	0.11593	0.48536	1.10384	0.70373	0	0.9389	0.58102	2.16254	0.14548	0.27369	0.03002	1.64806	2.63405	0.97265	1.20681	0.65575	1.99703	0.11711	0.00952	0.32648
B4GALT1	4.41708	3.64305	4.51518	3.60433	5.29966	5.29743	3.47526	4.46778	3.26635	6.1647	4.02357	4.97821	4.16055	5.05599	4.02449	2.97657	5.49487	4.02634	5.16572	4.50116	4.44679	4.52679	5.93209	3.69685	3.57103
B4GALT2	3.122	3.50621	3.65876	3.68789	3.50621	3.83081	4.28534	4.35259	3.29786	5.00312	4.65189	4.33422	5.04074	2.51532	5.00107	4.20351	3.61056	4.24701	3.96362	3.41823	3.41103	4.19398	3.26881	4.17718	3.7018
B4GALT3	6.05761	4.40672	4.04795	4.73166	4.49233	4.86761	4.10294	4.42168	4.22123	3.99119	4.44866	4.81765	4.85387	4.43123	3.44514	4.44014	3.73308	5.02457	4.49007	4.62635	5.51089	4.979	4.59997	4.44424	4.78541
B4GALT4	4.44679	4.69365	3.86847	2.89316	3.80725	2.37656	3.24313	4.32156	3.67643	4.33286	3.38956	4.05182	3.47748	3.35114	3.84997	3.59978	4.20009	3.79871	3.30905	3.84124	3.21521	4.99869	3.13542	4.21689	3.67729
B4GALT5	3.33873	4.5945	4.51892	4.11305	4.62635	4.7663	4.22439	5.09085	4.07942	4.46534	4.94808	4.73924	5.57545	3.53806	5.80343	3.68375	6.15631	4.24344	4.73009	5.90087	4.83244	5.64045	4.23585	6.74896	3.92653
B4GALT6	1.66946	2.58189	3.58246	2.5471	3.41418	1.55171	3.49005	3.2084	2.72724	0.94893	2.13946	2.80043	4.48452	2.23083	2.11712	2.54361	3.63619	1.74848	1.07526	2.46183	2.89083	3.33371	0.36243	3.00277	2.34498
B4GALT7	3.88438	2.5597	3.44417	3.99161	3.08582	3.74298	3.11807	3.4566	3.09235	3.75402	3.55973	3.8706	2.47701	2.46931	2.93498	3.69257	3.35057	3.90511	3.32389	3.29516	3.02765	3.74125	2.81054	3.08144	3.40129
B9D1	4.03278	2.38114	2.19443	4.36004	3.23514	3.13511	4.28006	3.2148	5.00618	1.94801	3.65343	3.01607	1.88297	1.78335	2.61382	5.30908	3.15868	3.73129	2.52317	1.90716	1.69623	3.30942	1.6502	3.34464	3.92295
B9D2	0.78926	0.91491	1.22332	2.08223	1.39634	0.58589	1.9563	1.75581	1.61446	1.69887	1.82133	1.15432	1.16913	1.21533	0.51601	2.34	0.91551	2.22652	1.15033	1.09932	0.80386	1.13722	1.44123	1.16977	1.64898
BAALC	1.58299	7.80699	0.68664	3.28111	0.4867	0.72476	0.96993	3.98177	6.3549	2.1874	5.05532	1.08285	4.57402	3.54252	2.25058	4.62894	2.10894	2.32073	1.89213	5.66708	0.47032	4.14032	1.45458	1.75725	0.63538
BAAT	0	0	0.05184	0.04569	0	0	0.1082	0	0.56396	0.00665	0.06393	0.96657	5.69998	0.05812	0.00473	0.21551	0.01403	0.00326	0.02496	0.08405	0	6.50684	0.00157	4.60538	0.55515
BABAM1	5.26802	5.42796	5.33867	5.54224	5.66105	5.6468	5.23672	5.63088	5.6651	5.40779	5.51792	5.60653	4.84013	5.14661	4.96872	5.52289	5.27252	5.86826	5.42903	5.31883	4.92695	6.27899	5.28708	5.18208	5.27252
BACE1	2.12384	4.15391	2.88956	2.97263	3.25344	3.22979	2.38085	2.7391	2.70459	3.9957	3.13102	2.81086	3.10481	2.78095	4.19928	2.54678	3.81946	3.70331	3.1679	3.95986	3.73308	3.70961	2.92959	2.53747	2.40172
BACE2	2.91343	4.55009	5.33332	4.39705	5.72179	5.24229	4.51574	5.40182	4.08066	3.54082	5.00312	6.39972	5.12497	3.27993	5.16633	4.61091	5.19816	2.22618	4.53701	4.46906	4.2372	4.6104	2.83718	5.74938	5.79627
BACH1	3.96148	3.76073	4.18277	3.66025	3.99269	2.48941	3.52848	3.47748	3.92377	3.97217	3.23284	3.46838	3.24213	3.615	3.35822	2.61582	3.65815	3.40629	3.05136	3.48173	2.86276	5.10033	4.23095	3.61958	3.57595
BACH2	0.23244	0.92789	1.89679	0.16676	0.29467	0.28057	0.32602	0.9625	0.15598	1.06874	0.272	0.66917	1.20184	2.72096	1.69256	0.11385	0.73759	0.43437	0.26649	0.39474	0.75627	1.03142	2.62556	0.51519	0.10253
BAD	3.77719	3.9691	3.25223	4.68427	4.31519	4.19496	4.70891	4.41613	4.85581	4.32517	4.68541	4.0595	2.85011	2.76562	4.49278	5.23252	3.23314	4.46953	3.93828	4.18723	2.88926	3.04521	3.41604	3.4828	3.27489
BAG1	3.54785	3.88899	4.21881	4.08017	3.92195	3.45905	3.25003	3.5519	4.06579	3.64601	3.87333	3.14627	4.18877	3.65642	3.40483	3.84432	3.77132	4.07203	3.94733	3.65273	4.24836	3.26451	3.54281	3.35617	3.98488
BAG2	2.06387	1.3162	1.82612	3.36122	1.77613	2.5622	2.53271	1.96891	2.91881	2.9723	1.83044	1.77136	1.58739	2.75838	1.76545	3.66392	1.68623	2.83298	2.95139	1.47947	1.29613	3.56918	2.85597	3.52057	3.13713
BAG3	3.678	4.50018	5.46038	3.75482	3.63439	4.63432	3.89824	4.01334	3.09167	4.3396	3.11549	3.24611	3.25752	2.73871	3.99737	3.35441	4.593	3.0389	4.09019	3.62356	3.55061	4.21286	5.19165	4.10015	3.58306
BAG4	2.5878	3.33679	3.25126	3.43029	2.97767	1.37537	3.1918	3.11747	4.27453	1.94377	2.46502	2.68154	3.6407	2.64036	2.87333	1.91434	3.20205	1.73325	1.68161	2.30169	2.83485	2.58697	1.41754	2.02395	3.28286
BAG5	3.1114	3.29264	3.47948	2.88729	2.97061	3.15016	2.9021	3.10667	3.13511	3.39436	2.43883	3.35176	3.5045	3.68409	3.01771	2.54854	3.65308	2.66515	3.31457	3.30663	3.73432	3.49574	3.39656	2.94057	3.73055
BAG6	5.24176	4.89146	6.56489	5.48206	4.91643	5.9986	5.25823	6.39312	4.88399	5.24657	5.69571	5.54072	5.68474	4.85161	5.29008	4.47652	6.36128	5.26524	5.61477	5.85597	5.91767	4.93562	5.41054	6.05987	5.66105
BAGE	0	0	0	0	2.2955	2.69403	3.06862	4.77423	2.94363	0	2.86517	0.06769	0.01127	0.5272	0.00038	0.00651	0	1.50626	0.00525	0	0	0.07149	0.00029	2.8617	0
BAGE3	0	0	0	0	0.57751	0.05649	0.75297	1.76185	0.96514	0	0.36471	0	0.33813	0.12576	0.3091	1.39191	0	0.6114	0.158	0	0	0	0.10466	0.75958	0
BAHCC1	0.94608	1.22637	1.6809	1.38549	0.47792	2.34294	1.25974	1.70542	0.47946	1.52202	1.63324	1.93393	2.79708	0.60833	2.6058	1.06472	2.02531	0.44639	1.78546	1.93501	2.18028	1.86463	0.90154	1.76586	0.9499
BAHD1	2.45295	3.12786	2.73454	1.477	2.34038	2.8868	2.62053	3.56671	1.62974	2.58532	2.78445	3.07109	2.60018	2.64576	2.12423	1.88221	2.73637	1.94649	2.38953	2.75441	2.59275	2.1733	3.03372	2.95068	1.61819
BAIAP2	2.25274	3.40661	4.17232	3.28433	1.5258	4.5945	2.37155	3.73731	2.03929	1.96475	3.66655	2.82875	3.74264	0.81096	2.08635	3.65031	3.27962	1.90278	3.09504	3.91971	3.50481	3.15738	2.01419	3.39691	2.66337
BAIAP2L1	0.56012	0.41321	3.66904	0.64664	0.55779	4.45979	1.69777	1.95921	1.93501	1.23811	1.71488	2.80659	0.79152	0.5801	1.17895	2.11947	0.7022	0.95441	1.37537	0.60402	0.30687	2.86554	0.56824	2.87485	3.61302
BAIAP2L2	0.76023	0.90264	4.06708	1.42701	1.64699	4.71648	2.7903	1.00814	3.23578	0.56654	2.08877	2.84675	3.39656	0.66755	4.41244	1.95125	1.04198	0.28582	0.15941	0.97372	1.96511	2.31733	0.31396	2.84126	3.53916
BAIAP3	0.25195	0.26321	2.02112	0.07701	0.11711	0.3278	0.19898	0.31331	0.41388	0.1471	0.40199	0.2488	0.88838	0.19154	0.06011	0.08825	0.56312	0.06078	0.31021	0.77857	0.18093	0.64755	0.13652	0.50835	0.34771
BAK1	4.67865	2.99411	3.99602	4.84715	4.59759	3.65986	4.79238	5.18432	4.60094	4.43006	4.06414	4.40292	3.71708	4.64736	3.76662	5.10844	3.92653	4.96809	4.46599	3.96148	4.10981	4.17517	4.2692	4.78904	5.04869
BAMBI	4.00188	4.95154	5.49487	5.23821	4.7403	5.77007	5.58392	6.12285	4.68953	0.87037	5.10346	6.86854	4.6701	3.16561	5.09709	6.3127	7.01169	2.11442	6.33794	5.56462	3.81839	6.1173	1.7692	7.23819	5.41234
BANF1	6.05618	6.93721	6.88632	7.09065	6.54986	7.18986	6.97339	6.5258	7.13409	6.58662	7.12342	6.49044	6.33475	6.5566	7.42042	7.48824	6.56059	7.31875	6.43078	7.15648	6.59407	6.46729	6.38264	6.60389	7.35803
BANF2	0	0	0	0	0	0	0.15087	0	0	0	0	0	0	0	0.05121	0	0	0	0	0	0	0	0	0	0
BANK1	3.08207	3.83119	0.05381	0.5663	0.73433	0.28544	0.96409	0.08069	0.34464	0.54008	0.43636	1.30276	0.02401	6.47632	0.82209	0.50763	0.31204	0.78374	0.70886	0.48595	0.44594	0.24111	5.57357	0.93064	0.05212
BANP	1.82185	1.51624	1.74043	1.78898	1.81055	2.0809	1.95366	2.78032	2.1585	1.53334	1.77427	1.98445	2.2212	1.55136	2.53613	1.87749	2.00165	2.10372	2.00329	1.67878	1.30856	1.87678	2.08256	2.11774	2.10822
BAP1	4.22083	3.78643	4.47705	3.72561	4.37067	5.20003	4.71392	4.60262	4.31561	4.74411	5.00705	4.7663	5.12424	4.11611	4.68953	4.50357	4.64386	4.29418	4.69909	4.75429	4.48895	5.16144	4.38858	4.86082	4.41562
BARD1	1.71023	1.34012	1.98374	1.55372	1.99401	1.52509	1.97845	1.47947	2.76248	1.12607	1.69887	1.29066	1.77136	2.04528	1.66946	1.02258	1.46277	0.89743	1.07389	1.23416	0.93636	1.2406	1.55708	1.18528	1.10127
BARHL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00517	0	0
BARHL2	0	0.10586	0.38508	0	0	1.05675	0	0	0	0	0	0	0.25326	0	0.16268	0	0	0	0.03002	0	0	0	0	0.04222	0.07739
BARX1	0	0	0	0.04257	0.13841	0.11309	0.11892	0.09577	3.44222	0.33909	0	0	0	0	0	0.25303	0.03957	0.04385	0.06965	0	0	0.18321	0.09058	1.54133	0
BARX2	0.33153	0.29112	0	0.06168	0.9167	0.14371	0	0	0.06711	0	0	0.28325	0.04266	0.43491	0.00476	0.20668	0	0.00982	0.34231	0.08655	0.35195	0.03411	0.33778	0.03341	0.19017
BASP1	5.54797	3.2945	2.39531	4.04885	3.37939	3.30417	1.83884	1.82826	2.21274	5.79511	4.65581	4.1976	1.47394	4.92504	2.82046	2.92596	3.16669	4.17632	4.94545	3.66594	4.13588	2.41606	5.37686	3.10083	2.76325
BATF	4.11611	3.17486	0.5881	2.83547	3.4619	3.8697	1.89549	0.5086	3.62323	3.74694	3.67274	3.43397	2.07148	3.47748	2.15209	3.79708	2.49685	3.7524	4.38358	4.04307	2.74652	1.81946	4.27885	2.84912	1.55418
BATF2	2.71202	2.12188	1.14785	1.83496	3.10306	2.07286	1.69808	1.53645	1.99753	1.89781	2.42739	2.94452	2.0373	2.36499	2.95918	2.63643	1.53612	2.56132	2.794	3.73689	4.46342	1.52162	1.34054	1.60653	3.79602
BATF3	1.66398	1.21602	1.4631	2.48699	2.28012	1.65096	2.59576	1.58966	1.82969	2.9456	2.42215	1.4807	1.20525	2.48165	2.18461	3.67052	1.18601	3.1231	2.08223	1.43102	2.21132	1.09814	3.05817	1.33598	1.62372
BAX	5.63397	4.92754	4.3685	5.18114	6.0457	6.32052	5.2296	6.71702	4.41286	6.4205	5.80128	6.01553	6.47082	5.73389	5.21702	5.62004	5.78015	6.00862	6.45781	6.73608	5.41647	6.57057	5.83969	6.70846	5.59384
BAZ1A	3.66557	2.95439	3.55353	2.96479	2.72535	2.74115	2.43339	3.37979	3.51415	3.1614	2.56647	3.08582	3.0562	4.31474	3.01345	2.37122	3.22486	3.01146	3.46502	3.00846	3.79235	3.38121	4.11965	2.7706	3.23902
BAZ1B	3.84432	5.08361	3.77496	2.52726	3.85427	4.08833	2.47631	3.23405	2.00088	3.56709	4.10405	4.07547	4.97686	4.25324	4.57245	3.01319	5.18715	3.34637	5.19668	4.50589	4.61091	4.47362	4.50187	4.43006	2.86752
BAZ2A	4.75477	3.58547	4.23141	2.37617	3.87137	3.97945	3.10667	3.2814	3.03748	3.44222	3.30518	3.71141	4.05809	4.25283	6.14175	3.04287	4.02404	3.25126	3.37589	4.23806	3.52911	4.44152	4.6195	3.46475	3.11618
BAZ2B	2.41662	2.99448	3.11399	1.42949	1.82185	1.70871	1.43353	2.64383	1.34275	2.23365	1.67081	2.08475	3.16899	2.37989	2.25225	0.99248	2.81723	1.76705	1.7937	2.39157	2.28624	2.3495	2.65337	2.28944	2.19479
BBC3	2.39277	1.02444	2.89664	1.57204	2.11411	3.62134	2.9235	2.93258	1.39634	2.54234	2.48072	1.70985	2.51997	1.00666	2.6574	1.4958	2.26938	1.63489	2.92814	2.95732	1.59416	3.31053	0.93201	2.82984	2.56803
BBIP1	4.57655	4.9761	4.43501	4.54577	3.99859	3.92377	5.12817	4.15513	4.19225	3.5928	4.13057	3.20556	3.42205	4.55335	3.22256	4.12854	2.88143	3.33226	2.86015	2.89908	4.10451	4.17679	2.69309	3.74125	3.22256
BBOX1	0.16546	0.05279	0	0.1538	0.11967	0	0	0.14787	0	0.10846	0	0	0.04161	0.0072	0	0	0	0.01295	0	0	0	0.88232	0.34976	0.03976	0
BBS1	2.28294	2.56682	2.98877	1.64861	1.44647	2.28944	2.7339	2.56619	1.60653	2.1329	2.74499	2.52726	3.12276	1.85054	3.06252	1.71023	2.41745	2.3456	3.28981	2.66139	2.2822	1.41079	2.10433	1.94163	3.02765
BBS10	1.83008	3.35822	3.41823	3.58579	3.76194	2.40066	4.0023	3.43397	4.21765	2.09957	1.99197	2.9273	3.07277	2.82875	2.42331	3.43941	3.59055	2.20135	2.28045	2.99102	2.67839	3.78867	1.41193	2.58462	3.37979
BBS12	1.88577	2.37816	2.6747	2.3082	1.5468	1.6113	3.1498	2.86229	2.80722	1.0933	1.53025	1.77863	2.37122	1.39225	0.97772	2.44462	2.1267	1.65225	1.27666	2.33323	1.8602	2.0809	0.81286	2.11589	3.59708
BBS2	3.6281	5.169	3.34835	3.61533	3.94733	3.55384	4.2601	4.63073	3.56479	3.59474	3.40194	3.92685	3.60058	3.61774	2.95562	3.75912	4.41326	3.71039	3.46151	4.65	3.69361	3.17808	3.69587	3.54715	4.02319
BBS4	2.83233	4.06579	2.70098	4.21597	3.63025	3.21446	3.93033	3.92257	3.32663	2.99999	3.3434	3.46364	3.69685	2.91183	3.21413	4.86699	4.01334	4.17982	3.94229	3.32632	3.93665	2.63307	2.57633	3.48943	4.79288
BBS5	1.41637	2.28869	2.46899	1.22495	1.6677	1.88336	1.78112	2.7691	1.60063	1.36179	1.6688	2.5874	2.92959	1.04507	2.31769	1.435	2.08039	0.57603	1.3837	1.87262	2.1006	2.09347	0.65035	2.70619	2.66839
BBS7	2.38452	2.33149	2.84708	3.24404	2.48003	2.78928	3.26196	3.77362	3.7074	2.21132	2.35048	2.26182	3.15642	2.27477	2.73982	2.95373	2.35517	2.11411	2.20284	2.28829	2.02233	2.91213	2.13804	2.592	3.46676
BBS9	3.19511	3.61022	3.13393	3.17135	2.65435	3.14738	3.33679	2.86038	3.55733	2.41606	2.9622	3.4001	3.0164	2.70268	3.21559	2.90564	3.8671	2.66839	3.3153	3.18448	3.27645	3.28497	2.17004	2.752	3.09949
BBX	3.22296	4.15608	3.13713	2.298	3.58177	2.68052	3.1178	3.14519	3.00073	2.42361	2.6426	3.07181	3.35413	3.78867	2.98803	2.0565	4.49007	2.20358	2.50647	3.58344	3.07441	4.7657	3.28866	3.67235	3.62134
BCAM	2.91275	2.83582	1.15688	3.04937	2.20386	3.28084	2.53898	1.60509	1.69926	4.50928	3.69184	1.96544	1.84342	2.79377	1.15103	1.77045	2.61646	2.25663	2.68252	3.15493	1.42575	2.55855	4.19013	1.9031	2.00209
BCAN	3.3834	5.98038	0.13652	5.88521	0.17807	0.75657	0.26805	0.89964	0.08134	0.02955	2.2785	4.3651	5.12642	0.02865	5.32693	1.97808	2.7903	1.68581	2.96752	5.86826	6.71702	1.06155	0.16374	3.06391	0.50647
BCAP29	2.82875	5.93361	3.70145	4.98244	4.68864	3.52236	4.44983	3.93002	4.73009	3.27316	3.71531	3.88403	4.71818	3.27012	3.56237	3.79419	4.68541	3.3589	2.87333	3.73395	3.79204	4.08633	1.9944	4.41469	2.85471
BCAP31	7.11563	7.60682	7.18986	6.30202	7.94953	7.44336	6.80408	7.61028	6.47253	6.92689	7.44336	7.46802	7.76889	6.43566	7.03381	6.89775	7.94347	6.55178	7.20029	7.82137	7.37247	8.17946	6.71122	7.54637	6.09109
BCAR1	1.58256	1.3256	2.05224	2.48592	1.57596	3.88027	3.30345	3.7055	1.70134	3.61631	3.58684	2.72298	3.46364	1.27912	1.81658	1.6607	4.27885	2.49116	2.78897	3.01345	1.79644	3.01439	3.03919	2.37324	1.1772
BCAR3	2.77779	2.62581	4.47831	3.40594	3.52208	3.24281	3.99334	3.08516	3.62246	2.69498	3.21156	3.61631	3.48704	3.38733	2.66207	4.3324	2.95732	4.65	2.05064	2.86586	4.01386	3.52999	2.77128	3.43255	1.46383
BCAS1	0.80172	1.42506	0.06247	0.08324	0.29369	0.10519	0	0.09891	0.07247	0.04681	0.06108	0.07123	0.05995	0.16519	3.63548	0.66808	0.10235	0.08266	0.14019	0.06232	0.36635	0.02433	0.5423	0.0048	0.0221
BCAS2	5.46646	4.77894	5.3614	5.29684	4.74655	4.71005	5.50033	5.21702	6.30202	4.7919	5.16268	5.1892	5.14433	5.19668	4.99674	5.60473	4.65319	4.72509	4.50018	4.32063	4.28576	4.85344	4.69265	4.99933	5.61206
BCAS3	3.57847	3.14382	3.38956	3.80873	2.58497	6.59784	4.24102	2.80343	4.14709	2.48515	3.26231	3.4962	3.06326	2.65435	3.17486	3.25187	3.54715	2.4587	2.90371	2.93068	5.20415	2.40108	2.96049	4.73576	5.54072
BCAS4	2.13724	1.06907	4.85283	0.81656	2.35187	1.45145	0.89185	1.23068	0.64978	1.20184	1.01046	1.97332	0.14121	3.09065	1.19998	4.29398	0.09221	1.94005	1.76119	0.82489	0.96715	0.86003	3.35	0.68694	3.13569
BCAT1	2.14057	1.78546	1.06263	1.70314	2.10686	1.39159	0.42297	1.0519	0.77917	4.21404	2.89386	1.79297	1.02754	1.36476	0.78374	1.34873	2.18394	2.96821	2.27815	1.71434	1.05155	1.54099	1.2492	1.60476	1.52509
BCAT2	3.41446	2.51067	2.67358	2.72096	3.14145	3.83604	3.99437	3.74298	3.14382	3.3002	3.41793	2.7049	2.39117	2.70958	1.49068	3.5288	2.99256	3.44417	3.55101	2.80962	1.98342	4.8744	3.35388	2.96253	2.9837
BCCIP	4.83189	4.50928	5.28861	5.4156	5.23947	4.71979	5.92273	5.00979	5.39034	4.65976	4.61705	4.80358	4.21645	5.26387	4.56162	5.36555	3.79916	5.01843	4.66151	4.29518	4.66312	4.85461	4.85387	5.06845	5.72741
BCDIN3D	1.3837	1.66499	1.91827	1.95522	1.89067	1.60761	2.05479	1.74848	1.36927	1.21863	1.21728	1.58451	1.55708	1.90836	1.19608	2.89869	1.44187	1.90362	1.63174	1.30775	1.44574	1.74651	1.31033	1.11923	2.26245
BCHE	1.88221	7.78598	0.28724	6.50684	0.19375	0.6524	0.33638	0.21124	0.47715	1.29165	5.85597	0.27503	5.83324	1.10535	1.69692	0.04158	7.65418	5.46238	5.02522	5.40354	2.70231	0.29085	1.02709	3.67538	4.57245
BCKDHA	4.28696	3.77765	3.73869	3.85313	3.70073	4.32063	3.68757	4.20168	3.16071	3.98143	4.61091	3.5656	3.87648	3.49294	3.07482	4.60094	3.91185	4.08633	4.42084	3.81166	3.58912	3.82603	4.16489	3.66655	3.89349
BCKDHB	2.74878	3.10855	4.4807	2.94487	3.17373	2.9487	3.61849	3.23016	4.32412	2.71333	2.6697	3.20675	3.27131	2.95532	2.48872	3.26484	3.03278	3.0672	3.07147	3.27519	3.46676	2.52529	3.30313	2.36172	3.71071
BCKDK	4.49583	3.47913	3.81571	3.54363	3.48411	4.76116	3.68789	4.09244	3.0164	4.24482	4.13222	4.38249	4.00344	3.08839	4.07942	3.8675	4.2731	4.08017	4.13997	3.91887	4.14468	4.66475	3.5771	4.39277	3.81166
BCL10	2.85162	2.23017	2.99581	2.7983	2.50019	2.1636	3.11399	2.59405	3.77643	2.58697	2.54032	2.16129	2.75237	3.15868	2.72609	2.43777	2.49949	2.10822	2.15889	2.07496	2.00138	2.49987	2.67555	2.40791	2.46086
BCL11A	0.77543	1.77045	0.44895	1.36897	0.15616	0.28072	0.25356	0	1.51216	0.21633	0.44368	0.36355	0.01875	3.75402	1.60169	0.1673	0.05572	0.9337	0.16154	0.06074	0.31531	0.24753	3.95402	0.52003	1.88297
BCL11B	2.5113	1.46031	0.29647	0.1544	0.85236	0.71228	0.20656	0.21325	0.04064	0.96993	0.34312	1.00099	0.0446	3.01805	0.48208	0.11391	0.27923	0.58712	1.0007	0.86878	1.21309	0.20106	2.37324	0.66701	0.12523
BCL2	3.42544	4.09019	4.50063	1.51465	1.97442	2.76863	2.48941	2.5228	1.85091	1.75764	2.45144	2.92507	4.55009	4.02596	4.91126	2.66027	1.90978	1.79264	2.19374	2.4884	4.54367	2.75872	3.89226	2.82841	3.6524
BCL2A1	5.65038	6.66223	0.60722	4.35343	6.50055	3.76762	7.40631	5.38678	8.20851	4.93003	6.20942	3.95674	1.10535	6.19218	5.31621	6.25985	7.41774	6.63355	5.33793	5.33573	3.43512	2.91116	5.42796	5.2961	3.32275
BCL2L1	5.93673	5.40182	5.00768	4.16238	4.82083	5.22734	4.15872	4.95975	4.48024	5.34043	5.02457	6.37062	5.49075	4.4006	5.90837	4.64336	5.53388	5.32855	5.24657	6.19095	5.61477	5.9651	5.00052	6.85943	5.07599
BCL2L10	0	0	0	0	0	0.25145	0	0	0	0	0	0.07206	0.09489	0.03443	0.06678	0	0	0	0	0	0	0	0.11225	0.03844	0
BCL2L11	5.10642	2.91058	3.06252	2.28591	2.43451	3.01479	1.39958	2.21993	2.02028	2.44788	3.27645	2.81344	3.50082	3.43845	2.40997	1.97098	2.9209	2.60435	2.68222	2.56353	2.52029	2.07496	3.8601	2.90395	1.19608
BCL2L12	1.82399	1.99589	2.59517	3.43983	2.65558	3.53344	3.756	2.7014	2.93098	2.23861	3.18126	2.83931	2.28869	2.48362	2.19967	3.72561	1.90441	3.266	2.97547	2.26081	1.68315	2.9874	2.23613	3.0672	2.576
BCL2L13	3.44417	3.83359	5.13314	3.72297	3.8964	4.32252	4.41286	4.8703	4.13632	3.21861	3.74947	4.31766	4.56923	3.48024	4.81765	4.33154	4.50018	3.5608	3.97729	3.48741	4.54481	4.09545	3.61533	4.8703	5.89991
BCL2L14	1.0519	0.65267	0	0.23805	0.73791	0.3758	0	0.12375	0.09499	0.35161	0.28102	0.83908	0.12148	1.74731	0.2203	0.65467	0	1.11551	0.73324	0.34991	0.87241	0.06454	2.74176	0.37474	0.2877
BCL2L15	0.0701	0.02162	0.30816	0.25119	0.06036	0.15081	0.19459	0.09995	0.04696	0.06577	0.06821	0.13756	0.10974	0.16338	0.07716	0.01241	0.07154	0.07589	0.02502	0.25182	0.05934	0.04873	0.03318	0.05167	0.09969
BCL2L2	3.11522	3.32301	4.05563	2.27937	3.62961	3.11522	2.64786	3.83604	3.0741	3.83359	2.76825	3.51312	3.99642	2.89213	4.67624	3.08548	3.72401	3.14776	3.09685	3.06758	4.47007	3.62663	3.35176	2.82705	3.88737
BCL3	4.16281	2.41745	2.22652	2.7473	3.71739	2.69057	2.69861	1.83197	1.13805	4.71492	3.32898	3.30485	1.45926	4.07464	1.7073	1.69848	3.44376	2.86615	3.97146	3.61383	2.42836	2.58625	4.99933	1.9451	2.20584
BCL6	3.05025	4.62894	3.53946	2.22462	2.64186	3.87911	2.76498	1.82439	2.89275	3.72916	2.85096	2.51897	2.5533	3.30625	2.7494	3.10913	3.39691	2.34498	3.14245	3.45874	3.25863	3.63371	4.23982	3.33708	3.53143
BCL6B	1.77895	1.19712	1.22534	2.56954	1.53756	2.41545	1.36707	1.44187	2.04647	4.25693	2.09753	1.81568	1.29828	2.62487	1.24637	0.40902	2.7924	1.91508	2.28661	1.04129	1.73676	2.22987	3.86411	1.30597	1.09932
BCL7A	0.5624	2.13222	2.56001	1.82612	2.13023	2.80865	2.38292	2.29766	2.01627	1.09906	1.96261	1.53288	2.86038	1.95558	3.49264	2.1329	2.10095	1.99589	1.8516	2.26148	1.39725	2.3052	2.55088	4.08833	2.57232
BCL7B	4.6837	5.22174	4.15712	4.94091	5.21444	5.23174	4.80402	4.24385	3.83081	4.74539	5.62635	4.38749	4.95005	4.51067	4.48951	5.13402	5.32609	4.7403	5.33518	5.10033	4.65692	4.83696	4.99363	4.51705	4.17089
BCL7C	4.03654	4.47544	3.69929	5.39461	4.40625	5.01116	5.04411	4.37067	4.58595	5.0789	5.09415	4.38417	4.04342	3.43983	3.92007	5.31963	4.06414	5.71907	4.72805	4.18198	4.08434	4.29193	4.06615	4.03865	3.8964
BCL9	2.33504	2.81254	2.93399	1.61898	2.71202	2.0433	1.48631	2.78786	1.34914	1.75215	1.89592	2.05518	3.3606	1.70586	2.13624	1.02163	2.86554	2.47285	1.81792	3.07014	3.29322	3.36973	2.11144	2.14733	1.86307
